,index,Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference,net_MLCP,rattlercount,Xs,CP,mechanism,rattler,CIF
46,654,BaZn2As2,323,203.0,6942.0,1.88,0.00027,0.05,https://doi.org/10.1021/acs.inorgchem.7b00232,,,,,,,
47,699,PbTe,323,-231.0,22500.0,2.17,0.0012,0.18,https://doi.org/10.1021/acsami.1c14518,,,,,,,
48,720,Cu2SnSe3,300,96.0,19970.0,2.33,0.00019,0.02,https://doi.org/10.1021/acsami.1c17460,,,,,,,
49,729,BaGd2NiO5,426,525.0,5.0,2.38,0.0,0.0,https://doi.org/10.1021/acs.inorgchem.7b00049,,,,,,,
50,730,Cu2SnS3,323,283.0,132.0,2.38,1e-05,0.0,10.1038/srep32501,,,,,,,
51,744,Cu3ErTe3,300,39.0,293000.0,2.56,0.00045,0.05,https://doi.org/10.1016/j.mtphys.2020.100180,,,,,,,
52,749,EuZn2Sb2,300,119.0,118055.0,2.61,0.00167,0.19,10.1039/B916346H,,,,,,,
53,761,Cu2CdSnSe4,300,236.0,2431.0,2.78,0.00014,0.01,10.1002/adma.200900409,,,,,,,
54,773,GeSe,326,774.0,3.0,2.84,0.0,0.0,https://doi.org/10.1021/acsami.0c10850,,,,,,,
55,804,Nd3Te4,373,-29.0,324000.0,3.19,0.00027,0.03,https://doi.org/10.1021/acs.chemmater.9b00964,,,,,,,
56,820,Cu3SbSe4,300,380.0,4462.0,3.39,0.00064,0.06,https://doi.org/10.1021/acsaem.1c01155,,,,,,,
57,880,ZrNiSn,376,-101.0,36966.0,4.22,0.00038,0.03,https://doi.org/10.1021/acsami.1c05639,,,,,,,
58,896,Cu2ZnSnSe4,323,106.0,21008.0,4.57,0.00024,0.02,https://doi.org/10.1021/acs.inorgchem.1c00079,,,,,,,
59,903,CaTiO3,321,-252.0,5400.0,4.69,0.00034,0.02,https://doi.org/10.1016/j.cej.2021.131121,,,,,,,
60,905,TiNiSn,297,-165.0,32450.0,4.7,0.00089,0.06,https://doi.org/10.1021/acs.chemmater.7b02685,,,,,,,
61,927,Cu5Sn2Se7,300,21.0,662800.0,5.28,0.0003,0.02,https://doi.org/10.1021/cm501899q,,,,,,,
62,928,Cu26V2Ge6S32,309,19.0,545000.0,5.31,0.00019,0.01,https://doi.org/10.1021/acs.inorgchem.1c01321,,,,,,,
63,934,Cu5Sn2S7,300,30.0,337313.0,5.51,0.00031,0.02,https://doi.org/10.1021/acs.chemmater.1c03434,,,,,,,
64,968,SnTe,298,29.0,768116.0,6.5,0.00065,0.04,10.1039/c7cp04931e,,,,,,,
65,980,CuGaTe2,325,364.0,2300.0,6.96,0.0003,0.01,10.1039/c6ta11120c,,,,,,,
66,988,Ca3Co2O6,373,227.0,17.0,7.43,0.0,0.0,https://doi.org/10.1063/1.1622115,,,,,,,
